Reference, Value, Footprint, Datasheet, MPN, Tolerance
"J1","USB_C_Receptacle_USB2.0","connectors:USB_C_Receptacle_USB4105","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","C167321 (lcsc.com)",""
"R3","5.1k","passive:R_0402","~","","1%"
"R4","5.1k","passive:R_0402","~","","1%"
"FB1","Ferrite_Bead_Small","passive:R_0402","~","MMZ1005S601HT000","600 Ohm @ 100 MHz"
"U3","MIC5353","dfn:DFN-6-1EP_1.6x1.6mm_P0.5mm_EP0.5x1.26mm","https://ww1.microchip.com/downloads/en/DeviceDoc/mic5353.pdf","MIC5353-3.3YMT",""
"C25","2.2u","passive:C_0402","~","","10V, X5R"
"U7","MIC5353","dfn:DFN-6-1EP_1.6x1.6mm_P0.5mm_EP0.5x1.26mm","https://ww1.microchip.com/downloads/en/DeviceDoc/mic5353.pdf","MIC5353-3.3YMT",""
"C27","2.2u","passive:C_0402","~","","10V, X5R"
"C26","2.2u","passive:C_0402","~","","10V, X5R"
"C24","2.2u","passive:C_0402","~","","10V, X5R"
"C28","0.1u","passive:C_0402","~","","25V, X7R"
"R8","5.1k","passive:R_0402","~","","1%"
"U8","USB3740B-AI9","Package_DFN_QFN:UQFN-10_1.6x2.1mm_P0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/00001725D.pdf","USB3740B-AI9-TR",""
"U1","hs-probe-stm32","bga:UFBGA-201_10x10mm_Layout15x15_P0.65mm","","STM32F723IEK6",""
"R9","1k","passive:R_0402","~","","1%"
"R102","5.1k","passive:R_0402","~","","1%"
"R101","5.1k","passive:R_0402","~","","1%"
"D1","LTST-C19HE1WT","LED_SMD:LED_LiteOn_LTST-C19HE1WT","https://optoelectronics.liteon.com/upload/download/DS22-2008-0044/LTST-C19HE1WT.pdf","LTST-C19HE1WT",""
"R7","1k","passive:R_0402","~","","5%"
"R6","1k","passive:R_0402","~","","5%"
"R5","1k","passive:R_0402","~","","5%"
"R1","5.1k","passive:R_0402","~","","1%"
"R2","3k","passive:R_0402","~","","1%"
"C3","0.1u","passive:C_0402","~","","25V, X7R"
"C1","2.2u","passive:C_0402","~","","10V, X5R"
"C2","2.2u","passive:C_0402","~","","10V, X5R"
"C4","2.2u","passive:C_0402","~","","10V, X5R"
"C5","2.2u","passive:C_0402","~","","10V, X5R"
"C6","2.2u","passive:C_0402","~","","10V, X5R"
"C7","2.2u","passive:C_0402","~","","10V, X5R"
"C23","0.1u","passive:C_0402","~","","25V, X7R"
"C22","0.1u","passive:C_0402","~","","25V, X7R"
"C21","0.1u","passive:C_0402","~","","25V, X7R"
"C20","0.1u","passive:C_0402","~","","25V, X7R"
"C19","0.1u","passive:C_0402","~","","25V, X7R"
"C18","0.1u","passive:C_0402","~","","25V, X7R"
"C17","0.1u","passive:C_0402","~","","25V, X7R"
"C16","0.1u","passive:C_0402","~","","25V, X7R"
"C15","0.1u","passive:C_0402","~","","25V, X7R"
"C14","0.1u","passive:C_0402","~","","25V, X7R"
"C13","0.1u","passive:C_0402","~","","25V, X7R"
"C12","0.1u","passive:C_0402","~","","25V, X7R"
"C11","0.1u","passive:C_0402","~","","25V, X7R"
"C10","0.1u","passive:C_0402","~","","25V, X7R"
"C9","0.1u","passive:C_0402","~","","25V, X7R"
"C8","0.1u","passive:C_0402","~","","25V, X7R"
"U2","12 MHz","crystals:Crystal_4Pin_2.0x1.6mm","https://global.kyocera.com/prdct/electro/product/pdf/clock_z_xz_e.pdf","KC2016Z12.0000C15XXK",""
"U4","NUF8401MNT4G","dfn:DFN-16-1EP_1.6x4mm_P0.5mm","http://www.onsemi.com/pub/Collateral/NUF8401MN-D.PDF","NUF8401MNT4G",""
"U5","STDC14","connectors:PinHeader_2x07_FTSH-107-01-L-DV-K","","FTSH-107-01-L-DV-K",""
